FID,Grid_Numbe,Longitude,Latitude,2025–2049,2050–2074,2075–2100
0,Grid_1,81.5,18,310653,301863,248959
1,Grid_2,81.75,18,353076,343067,282960
2,Grid_3,82.25,18,536522,523963,434537
3,Grid_4,81.75,18,341239,330962,271648
4,Grid_5,82,18,384953,369942,301908
5,Grid_6,82.25,18,401221,384479,313099
6,Grid_7,82,18,437942,421265,343402
7,Grid_8,82.25,18,530997,513304,420736
8,Grid_9,82.75,18,778264,772623,650306
9,Grid_10,83,18,1099090,1098470,929626
10,Grid_11,82.25,19,594255,571784,465920
11,Grid_12,82.5,19,602542,588310,486589
12,Grid_13,82.75,19,605848,594785,494672
13,Grid_14,83,19,934139,913395,757499
14,Grid_15,82.25,19,639908,622409,511662
15,Grid_16,82.5,19,657689,640251,527361
16,Grid_17,82.75,19,702083,684134,564612
17,Grid_18,83,19,759244,737984,608810
18,Grid_19,83.25,19,792586,770247,635869
19,Grid_20,83.75,19,786851,762913,628530
20,Grid_21,84,19,813507,792630,656675
21,Grid_22,84.25,19,807414,793560,663108
22,Grid_23,82.25,19,746583,732223,605553
23,Grid_24,82.5,19,717509,698538,574809
24,Grid_25,82.75,19,732228,711732,584927
25,Grid_26,83,19,614211,592765,486510
26,Grid_27,83.25,19,552025,530502,434969
27,Grid_28,83.5,19,544396,518971,421597
28,Grid_29,83.75,19,494585,469968,380917
29,Grid_30,84,19,633022,604277,492788
30,Grid_31,84.25,19,605386,572149,463179
31,Grid_32,84.5,19,1444130,1500170,1314970
32,Grid_33,84.75,19,1892480,1993610,1767270
33,Grid_34,82.25,20,678069,660992,544165
34,Grid_35,82.5,20,717640,696855,572182
35,Grid_36,82.75,20,739098,716275,587609
36,Grid_37,83,20,644868,622240,509755
37,Grid_38,83.25,20,585727,562143,459056
38,Grid_39,83.5,20,517171,492398,399461
39,Grid_40,83.75,20,484814,459440,371367
40,Grid_41,84,20,596801,575308,472663
41,Grid_42,84.25,20,687694,671830,558627
42,Grid_43,84.5,20,1032890,1043040,891774
43,Grid_44,84.75,20,1133620,1152030,989886
44,Grid_45,85,20,774516,772755,654161
45,Grid_46,82.25,20,658304,642716,529532
46,Grid_47,82.5,20,773705,749464,613973
47,Grid_48,82.75,20,853481,826450,676651
48,Grid_49,83,20,626285,602174,491721
49,Grid_50,83.25,20,576198,551925,449897
50,Grid_51,83.5,20,432467,408736,329582
51,Grid_52,83.75,20,358211,334149,266806
52,Grid_53,84,20,496218,475404,387938
53,Grid_54,84.25,20,487769,465661,378634
54,Grid_55,84.5,20,930219,916067,763877
55,Grid_56,84.75,20,1064510,1047680,871962
56,Grid_57,85,20,939703,916574,760332
57,Grid_58,85.25,20,887753,851758,696741
58,Grid_59,85.5,20,770357,759902,636547
59,Grid_60,82,20,515014,495018,403481
